,depth,hid_feature,num_tfmamba,d_state,d_conv,expand,#parameters,model_size,#parameters(KB),exp_name
0,1,8,1,4,1,2,5745,55.333984375,5.6103515625,dep1_h8_tf1_ds4_dc1_ex2
1,1,8,1,4,1,3,7089,59.833984375,6.9228515625,dep1_h8_tf1_ds4_dc1_ex3
2,1,8,1,4,1,4,8433,65.833984375,8.2353515625,dep1_h8_tf1_ds4_dc1_ex4
3,1,8,1,4,2,2,5809,55.583984375,5.6728515625,dep1_h8_tf1_ds4_dc2_ex2
4,1,8,1,4,2,3,7185,60.333984375,7.0166015625,dep1_h8_tf1_ds4_dc2_ex3
5,1,8,1,4,2,4,8561,66.333984375,8.3603515625,dep1_h8_tf1_ds4_dc2_ex4
6,1,8,1,4,3,2,5873,55.833984375,5.7353515625,dep1_h8_tf1_ds4_dc3_ex2
7,1,8,1,4,3,3,7281,60.583984375,7.1103515625,dep1_h8_tf1_ds4_dc3_ex3
8,1,8,1,4,3,4,8689,66.833984375,8.4853515625,dep1_h8_tf1_ds4_dc3_ex4
9,1,8,1,8,1,2,6513,58.333984375,6.3603515625,dep1_h8_tf1_ds8_dc1_ex2
10,1,8,1,8,1,3,8241,64.333984375,8.0478515625,dep1_h8_tf1_ds8_dc1_ex3
11,1,8,1,8,1,4,9969,71.833984375,9.7353515625,dep1_h8_tf1_ds8_dc1_ex4
12,1,8,1,8,2,2,6577,58.583984375,6.4228515625,dep1_h8_tf1_ds8_dc2_ex2
13,1,8,1,8,2,3,8337,64.833984375,8.1416015625,dep1_h8_tf1_ds8_dc2_ex3
14,1,8,1,8,2,4,10097,72.333984375,9.8603515625,dep1_h8_tf1_ds8_dc2_ex4
15,1,8,1,8,3,2,6641,58.833984375,6.4853515625,dep1_h8_tf1_ds8_dc3_ex2
16,1,8,1,8,3,3,8433,65.083984375,8.2353515625,dep1_h8_tf1_ds8_dc3_ex3
17,1,8,1,8,3,4,10225,72.833984375,9.9853515625,dep1_h8_tf1_ds8_dc3_ex4
18,1,8,1,16,1,2,8049,64.486328125,7.8603515625,dep1_h8_tf1_ds16_dc1_ex2
19,1,8,1,16,1,3,10545,73.486328125,10.2978515625,dep1_h8_tf1_ds16_dc1_ex3
20,1,8,1,16,1,4,13041,83.986328125,12.7353515625,dep1_h8_tf1_ds16_dc1_ex4
21,1,8,1,16,2,2,8113,64.736328125,7.9228515625,dep1_h8_tf1_ds16_dc2_ex2
22,1,8,1,16,2,3,10641,73.986328125,10.3916015625,dep1_h8_tf1_ds16_dc2_ex3
23,1,8,1,16,2,4,13169,84.486328125,12.8603515625,dep1_h8_tf1_ds16_dc2_ex4
24,1,8,1,16,3,2,8177,64.986328125,7.9853515625,dep1_h8_tf1_ds16_dc3_ex2
25,1,8,1,16,3,3,10737,74.236328125,10.4853515625,dep1_h8_tf1_ds16_dc3_ex3
26,1,8,1,16,3,4,13297,84.986328125,12.9853515625,dep1_h8_tf1_ds16_dc3_ex4
27,1,8,1,32,1,2,11121,76.486328125,10.8603515625,dep1_h8_tf1_ds32_dc1_ex2
28,1,8,1,32,1,3,15153,91.486328125,14.7978515625,dep1_h8_tf1_ds32_dc1_ex3
29,1,8,1,32,1,4,19185,107.986328125,18.7353515625,dep1_h8_tf1_ds32_dc1_ex4
30,1,8,1,32,2,2,11185,76.736328125,10.9228515625,dep1_h8_tf1_ds32_dc2_ex2
31,1,8,1,32,2,3,15249,91.986328125,14.8916015625,dep1_h8_tf1_ds32_dc2_ex3
32,1,8,1,32,2,4,19313,108.486328125,18.8603515625,dep1_h8_tf1_ds32_dc2_ex4
33,1,8,1,32,3,2,11249,76.986328125,10.9853515625,dep1_h8_tf1_ds32_dc3_ex2
34,1,8,1,32,3,3,15345,92.236328125,14.9853515625,dep1_h8_tf1_ds32_dc3_ex3
35,1,8,1,32,3,4,19441,108.986328125,18.9853515625,dep1_h8_tf1_ds32_dc3_ex4
36,1,8,2,4,1,2,8737,84.400390625,8.5322265625,dep1_h8_tf2_ds4_dc1_ex2
37,1,8,2,4,1,3,11425,93.400390625,11.1572265625,dep1_h8_tf2_ds4_dc1_ex3
38,1,8,2,4,1,4,14113,105.400390625,13.7822265625,dep1_h8_tf2_ds4_dc1_ex4
39,1,8,2,4,2,2,8865,84.900390625,8.6572265625,dep1_h8_tf2_ds4_dc2_ex2
40,1,8,2,4,2,3,11617,94.400390625,11.3447265625,dep1_h8_tf2_ds4_dc2_ex3
41,1,8,2,4,2,4,14369,106.400390625,14.0322265625,dep1_h8_tf2_ds4_dc2_ex4
42,1,8,2,4,3,2,8993,85.400390625,8.7822265625,dep1_h8_tf2_ds4_dc3_ex2
43,1,8,2,4,3,3,11809,94.900390625,11.5322265625,dep1_h8_tf2_ds4_dc3_ex3
44,1,8,2,4,3,4,14625,107.400390625,14.2822265625,dep1_h8_tf2_ds4_dc3_ex4
45,1,8,2,8,1,2,10273,90.400390625,10.0322265625,dep1_h8_tf2_ds8_dc1_ex2
46,1,8,2,8,1,3,13729,102.400390625,13.4072265625,dep1_h8_tf2_ds8_dc1_ex3
47,1,8,2,8,1,4,17185,117.400390625,16.7822265625,dep1_h8_tf2_ds8_dc1_ex4
48,1,8,2,8,2,2,10401,90.900390625,10.1572265625,dep1_h8_tf2_ds8_dc2_ex2
49,1,8,2,8,2,3,13921,103.400390625,13.5947265625,dep1_h8_tf2_ds8_dc2_ex3
50,1,8,2,8,2,4,17441,118.400390625,17.0322265625,dep1_h8_tf2_ds8_dc2_ex4
51,1,8,2,8,3,2,10529,91.400390625,10.2822265625,dep1_h8_tf2_ds8_dc3_ex2
